"NÚMERO DE REGISTRO";"TÍTULO";"DESCRIÇÃO";"CLASSE THESAURUS";"CLASSE";"REFERÊNCIA DE AQUISIÇÃO";"FONTE";"FORMA DE AQUISIÇÃO";"VALOR";"SETOR"
309.903;"Garfo de sobremesa";"Garfo de sobremesa de Prata 90 WOLFF com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.904;"Faca de sobremesa";"Faca de sobremesa de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.905;"Faca de sobremesa";"Faca de sobremesa de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.906;"Faca de sobremesa";"Faca de sobremesa de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.907;"Faca de sobremesa";"Faca de sobremesa de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.908;"Faca de sobremesa";"Faca de sobremesa de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.909;"Faca de sobremesa";"Faca de sobremesa de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.910;"Colher de sopa";"Colher de sopa de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.911;"Colher de sopa";"Colher de sopa de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.912;"Colher de sopa";"Colher de sopa de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.913;"Colher de sopa";"Colher de sopa de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.914;"Colher de sopa";"Colher de sopa de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.915;"Colher de sopa";"Colher de sopa de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.916;"Garfo";"Garfo de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.917;"Garfo";"Garfo de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.918;"Garfo";"Garfo de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.919;"Garfo";"Garfo de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.920;"Garfo";"Garfo de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.921;"Garfo";"Garfo de prata Fracalanza, com a inscrição ""PANAIR DO BRASIL"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.922;"Faca";"Faca de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.923;"Faca";"Faca de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.924;"Faca";"Faca de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.925;"Faca";"Faca de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.926;"Faca";"Faca de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.927;"Faca";"Faca de Prata 90 WOLFF e aço inoxidável, com as inscrições ""PANAIR DO BRASIL"" e ""INOX"" e logotipo da A Frota Bandeirante.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.999;"Xícara de chá (conjunto)";"Xícara de chá com pires de porcelana Rosenthal, com frisos dourados e prateados nas bordas e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.000;"Pires";"Pires de porcelana Rosenthal, com frisos dourados e prateados nas bordas e logotipo da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.001;"Bandeja";"Bandeja de plástico (melamina) para refeição utilizada nas aeronaves da Panair do Brasil S. A., da Neoplastic, com a inscrição ""Neoplastic S. Paulo"".";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.002;"Xícara de chá";"Xícara de chá de plástico,  com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.003;"Bandeja (miniatura)";"Bandeja em miniatura com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.004;"Tigela";"Tigela com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.005;"Travessa";"Travessa com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.006;"Saleiro";"Saleiro de plástico. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.007;"Saleiro";"Saleiro de plástico. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.009;"Bandeja";"Bandeja de plástico (melamina) para refeição utilizada nas aeronaves da Panair do Brasil S. A., da Neoplastic, com a inscrição ""Neoplastic S. Paulo"".";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.010;"Xícara de chá";"Xícara de chá de plástico,  com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.011;"Bandeja (miniatura)";"Bandeja em miniatura com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.012;"Tigela";"Tigela com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.013;"Travessa";"Travessa com logotipo da A Frota Bandeirante. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.014;"Saleiro";"Saleiro de plástico. Faz parte do conjunto de bandeja de melamina para refeição em avião.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.015;"Saleiro";"Saleiro de plástico. Faz parte do conjunto de bandeja de melamina para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.023;"Copo";"Copo de vidro. Faz parte do conjunto para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.024;"Copo";"Copo de vidro. Faz parte do conjunto para refeição utilizada nas aeronaves da Panair do Brasil S. A.";"05.6";"05.6 - UTENSILIO DE COZINHA/MESA";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.411;"Raquete";"Raquete de frescobol (cabo azul), da Frescobol Carioca";"07";"07 - LAZER/DESPORTO";"302/2017";"M’Baraka Projetos e Produções Culturais LTDA.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.412;"Raquete";"Raquete de frescobol (cabo amarelo), da Frescobol Carioca";"07";"07 - LAZER/DESPORTO";"302/2017";"M’Baraka Projetos e Produções Culturais LTDA.";"Doa&ccedil;&atilde;o";250;"RESERVA TÉCNICA"
309.325;"Distintivo";"Distintivo do Movimento Abolicionista de 1884 em Porto Alegre, no Rio Grande do Sul. Pertenceu ao Marechal José Simeão de Oliveira (Rio Grande/RS, 1838 - Nova Iorque/EUA, 1893), na época comandante da Escola Militar de Porto Alegre de 1880 a 1886.";"08";"08 - INSIGNIAS";"237/2017";"Mariettinha Monteiro Leão de Aquino";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.833;"Crachá";"Crachá nº 0048, Família Panair - 50 anos, com logotipo da Panair do Brasil S. A.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.878;"Bandeirola";"Bandeirola em tecido de fundo branco, em formato retangular, com bordas superiores e inferiores na cor verde e logotipo da Panair do Brasil S. A. ao centro.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.961;"Tope";"Tope em metal dourado da Panair do Brasil S. A., em formato arredondado, contendo coroa de louro na borda. Contem a numeração ""529"" no verso.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.962;"Tope";"Tope em metal dourado da Panair do Brasil S. A., em formato arredondado, contendo coroa de louro na borda. Contem a inscrição no verso ""MADE IN USA"".";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.963;"Tope";"Tope em metal dourado da Panair do Brasil S. A., em formato arredondado, contendo coroa de louro na borda.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.964;"Tope";"Tope em metal dourado da Panair do Brasil S. A., em formato arredondado, contendo coroa de louro na borda e a data 22/10/1929.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.965;"Tope";"Tope em metal dourado (com desgaste na área em relevo) da Panair do Brasil S. A., em formato arredondado, contendo coroa de louro na borda e a data 22/10/1929.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.966;"Broche";"Broche de Comissária da Panair do Brasil S. A., da Randal, em metal dourado, com alfinete para fixação.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.967;"Broche";"Broche de Comissária da Panair do Brasil S. A., da Randal, em metal dourado, com alfinete para fixação.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.968;"Broche";"Broche de Comissário da Panair do Brasil S. A., em metal dourado, com alfinete para fixação. Inscrições no verso.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.969;"Broche";"Broche de Comissário da Panair do Brasil S. A., da Randal, em metal dourado, com alfinete para fixação. Inscrições no verso.";"08";"08 - INSIGNIAS";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.086;"Tocha olímpica";"Tocha olímpica da Rio 2016";"08";"08 - INSIGNIAS";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
309.827;"Placa";"Placa de homenagem da INFRAERO à Panair do Brasil S. A., de dezembro de 1997, em comemoração ao primeiro voo comercial realizado no Aeroporto da Pampulha, em Belo Horizonte/MG, em 23 de março de 1937. Acompanha estojo original.";"09.2";"09.2 - OBJETO COMEMORATIVO";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.829;"Botão comemorativo";"Botão comemorativo do cinquentenário do 1º voo da Amazônia, em metal dourado.";"09.2";"09.2 - OBJETO COMEMORATIVO";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.847;"Flâmula";"Flâmula comemorativa do 3º Congresso Nacional de Museus, organizado pelo ICOM, realizado na cidade de Salvador (Bahia) em maio de 1962.";"09.2";"09.2 - OBJETO COMEMORATIVO";"437/2017";"Museu Histórico Nacional";"Incorporação";300;"RESERVA TÉCNICA"
309.946;"Placa comemorativa";"Placa comemorativa, em madeira, metal e camurça, com figura de mapa do Brasil e logotipo da Panair do Brasil S. A. em relevo, e as inscrições ""50º Aniversário da Família Panair - 1929-1979"".";"09.2";"09.2 - OBJETO COMEMORATIVO";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
309.954;"Placa";"Placa comemorativa em metal dourado, em formato de escudo, relativa ao Primeiro prêmio do concurso de vendas de 1950, no qual a Panair do Brasil S. A. foi vencedora, promovido pela Casa Bancária Alberto Behar.";"09.2";"09.2 - OBJETO COMEMORATIVO";"004/2017";"Panair do Brasil S. A.";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.036;"Ímã";"Ímã decorativo dos Jogos Paralímpicos Rio 2016 - Rugby em cadeira de rodas. Produto oficial.";"09.2";"09.2 - OBJETO COMEMORATIVO";"145/2017";"Paulo Knauss de Mendonça";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.037;"Ímã";"Ímã decorativo dos Jogos Paralímpicos Rio 2016 - Tênis em cadeira de rodas. Produto oficial.";"09.2";"09.2 - OBJETO COMEMORATIVO";"145/2017";"Paulo Knauss de Mendonça";"Doa&ccedil;&atilde;o";;"RESERVA TÉCNICA"
310.041;"Estatueta";"Estatueta em miniatura da marca das Olimpíadas Rio 2016, nas cores amarelo, laranja, azul e verde, com logotipo do evento e a inscrição ""XXXI Olimpíada Rio 2016"". Acompanha caixa em papelão e embalagem plástica.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.042;"Estatueta";"Estatueta em miniatura da marca das Paralimpíadas Rio 2016, nas cores amarelo, laranja e branco. Acompanha caixa em papelão e embalagem plástica.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.043;"Cinto";"Cinto de lona na cor cáqui com fivela regulável em metal prateado. Compõem uniforme utilizado pelos voluntários dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.044;"Boné";"Boné de poliéster com a inscrição “361º”, nas cores marrom e azul (aba), utilizado pelos voluntários dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.045;"Boné";"Boné de poliéster com a inscrição “361º”, nas cores marrom e vermelha (aba), utilizado pelos voluntários dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.046;"Boné";"Boné de poliéster com a inscrição “361º”, nas cores marrom e verde (aba), utilizado pelos voluntários dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.047;"Boné";"Boné de poliéster com a inscrição “361º”, nas cores marrom e amarela (aba), utilizado pelos voluntários dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.048;"Boné";"Boné estilizado do Mascote Vinícius, relativo aos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.049;"Toalha de rosto";"Toalha de rosto na cor laranja com a inscrição ""Sou Rio 2016"".";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.050;"Toalha de banho";"Toalha de banho de algodão com o desenho do Mascote “Vinicius” dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.051;"Chaveiro";"Chaveiro com suporte para garrafa de água, utilizado pelos voluntários dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.052;"Bandeja";"Bandeja de madeira com a inscrição ""Rio 2016"", utilizadas nas cerimônias de entrega de medalhas dos Jogos Olímpicos e Paralímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.053;"Garrafa";"Garrafa de plástico da Matrix Plast, na cor azul, com motivos dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.054;"Tênis (par)";"Tênis nas cores verde e branco, tamanho 38, com o tema dos Jogos Olímpicos Rio 2016. Utilizado pelos voluntários dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.055;"Meia (par)";"Meia (par) soquete rasa, na cor branca, em poliéster, algodão e elastano, com a inscrição “361º”.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.056;" Botão (insígnia)";"Botão utilizado pelos trabalhadores voluntários dos Jogos Paralímpicos Rio 2016 - Time FORÇA DE TRABALHO.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.057;"Botão comemorativo";"Botão comemorativo dos dos Jogos Paralímpicos Rio 2016 com imagem do Mascote Tom.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.058;"Botão comemorativo";"Botão comemorativo dos Jogos Olímpicos e Paralímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.059;"Botão comemorativo";"Botão comemorativo do Comitê Olímpico Internacional em homenagem aos Jogos Olímpicos e Paralímpicos Rio 2016. Fixado em cartão com inscrições.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.060;"Chinelo (par)";"Chinelo (par) da marca Havaianas, modelo adulto 35-36, com motivo dos jogos Olímpicos e Paralímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.061;"Óculos";"Óculos utilizados pelos trabalhadores do Jogos Olímpicos e Paralímpicos Rio 2016, com hastes na cor laranja e a inscrição ""Sou Rio 2016"".";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.062;"Óculos";"Óculos utilizados pelos trabalhadores do Jogos Olímpicos e Paralímpicos Rio 2016, com hastes na cor vermelha e a inscrição ""Sou Rio 2016"".";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.063;"Capa de chuva";"Capa de chuva de plástico, transparente, com capú regulável, dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.064;"Mochila";"Mochila infantil nas cores amarelo, roxo e laranja, com o Mascote Vinicius das Olimpíadas Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.065;"Boneco";"Boneco de pelúcia “Vinicius”, mascote dos Jogos Olímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.066;"Boneco";"Boneco de pelúcia “Tom”, mascote dos Jogos Paralímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.067;"Sacola";"Sacola da Rio 2016 na cor bege.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
310.068;"Calça";"Calça masculina, na cor bege, tamanho G, estilo social, utilizada como uniforme dos trabalhadores voluntários dos Jogos Olímpicos e Paralímpicos Rio 2016.";"09.2";"09.2 - OBJETO COMEMORATIVO";"597/2017";"Museu Histórico Nacional";"Incorporação";;"RESERVA TÉCNICA"
